cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
Meruoca,20.22,19.66,céu limpo,52,20.22,20.22,2.55,2025-08-18 19:54:55
Milagres,24.66,24.12,céu limpo,36,24.66,24.66,3.12,2025-08-18 19:50:34
Milhã,25.33,24.68,céu limpo,29,25.33,25.33,1.2,2025-08-18 19:54:56
Miraíma,25.04,25.04,céu limpo,55,25.04,25.04,3.2,2025-08-18 19:54:57
Missão Velha,27.27,26.86,algumas nuvens,36,27.27,27.27,3.6,2025-08-18 19:54:57
Mombaça,24.23,24.75,nuvens dispersas,78,24.23,24.23,2.57,2025-08-18 19:54:58
Monsenhor Tabosa,22.06,21.29,céu limpo,37,22.06,22.06,1.81,2025-08-18 19:54:58
Morada Nova,23.62,23.94,céu limpo,73,23.62,23.62,3.13,2025-08-18 19:54:59
Moraújo,25.26,25.15,céu limpo,50,25.26,25.26,2.19,2025-08-18 19:52:03
Morrinhos,23.64,22.74,céu limpo,26,23.64,23.64,2.03,2025-08-18 19:51:32
Mucambo,26.45,26.45,céu limpo,32,26.45,26.45,2.68,2025-08-18 19:55:00
Mulungu,21.47,21.92,algumas nuvens,86,21.47,21.47,2.39,2025-08-18 19:55:00
Nova Olinda,23.06,22.44,céu limpo,39,23.06,23.06,2.81,2025-08-18 19:55:01
Nova Russas,25.91,25.37,céu limpo,31,25.91,25.91,1.3,2025-08-18 19:55:01
Novo Oriente,24.99,24.3,céu limpo,29,24.99,24.99,1.58,2025-08-18 19:55:02
Ocara,22.31,22.66,céu limpo,79,22.31,22.31,2.55,2025-08-18 19:55:02
Orós,25.69,25.02,céu limpo,27,25.69,25.69,1.67,2025-08-18 19:55:03
Pacajus,21.96,22.46,céu limpo,86,21.96,21.96,1.82,2025-08-18 19:55:03
Pacatuba,25.65,26.49,céu limpo,85,25.65,25.65,1.07,2025-08-18 19:53:48
Pacoti,17.7,17.59,céu limpo,79,17.7,17.7,2.28,2025-08-18 19:55:04
Pacujá,26.75,26.34,céu limpo,32,26.75,26.75,2.47,2025-08-18 19:55:05
Palhano,25.07,25.51,céu limpo,72,25.07,25.07,4.15,2025-08-18 19:55:05
Palmácia,19.54,19.66,céu limpo,81,19.54,19.54,1.92,2025-08-18 19:55:05
Paracuru,25.44,25.97,céu limpo,74,25.44,25.44,7.25,2025-08-18 19:55:06
Paraipaba,24.61,25.03,céu limpo,73,24.61,24.61,4.61,2025-08-18 19:55:06
Parambu,24.3,23.62,nuvens dispersas,32,24.3,24.3,2.82,2025-08-18 19:55:07
Paramoti,23.7,23.69,céu limpo,60,23.7,23.7,2.56,2025-08-18 19:55:07
Pedra Branca,22.76,21.95,céu limpo,33,22.76,22.76,0.76,2025-08-18 19:55:08
Penaforte,23.82,23.59,algumas nuvens,51,23.82,23.82,8.67,2025-08-18 19:55:09
Pentecoste,23.37,23.54,céu limpo,68,23.37,23.37,2.54,2025-08-18 19:55:09
Pereiro,15.08,14.55,céu limpo,73,15.08,16.65,0.74,2025-08-18 19:55:09
Pindoretama,24.58,25.18,céu limpo,80,24.58,24.58,5.35,2025-08-18 19:55:10
Piquet Carneiro,24.61,23.88,céu limpo,29,24.61,24.61,1.86,2025-08-18 19:55:10
Pires Ferreira,25.67,25.18,céu limpo,34,25.67,25.67,1.63,2025-08-18 19:52:03
Poranga,19.4,19.38,nublado,76,19.4,19.4,3.1,2025-08-18 19:55:11
Porteiras,23.45,22.92,céu limpo,41,23.45,23.45,4.63,2025-08-18 19:55:11
Potengi,22.51,21.83,céu limpo,39,22.51,22.51,3.0,2025-08-18 19:55:12
Potiretama,25.14,24.86,céu limpo,44,25.14,25.14,3.51,2025-08-18 19:55:12
Quixadá,23.37,23.3,céu limpo,59,23.37,23.37,3.63,2025-08-18 19:55:13
Quixelô,25.12,24.39,céu limpo,27,25.12,25.12,1.58,2025-08-18 19:55:14
Quixeramobim,25.46,24.87,céu limpo,31,25.46,25.46,1.88,2025-08-18 19:55:14
Quixeré,23.54,24.04,céu limpo,80,23.54,23.54,2.89,2025-08-18 19:55:14
Redenção,21.53,21.91,céu limpo,83,21.53,21.53,1.39,2025-08-18 19:55:15
Reriutaba,25.73,25.22,céu limpo,33,25.73,25.73,1.78,2025-08-18 19:55:15
Russas,23.8,24.27,céu limpo,78,23.8,23.8,2.84,2025-08-18 19:55:16
Saboeiro,24.25,23.54,céu limpo,31,24.25,24.25,2.1,2025-08-18 19:55:16
Salitre,12.64,11.11,nublado,44,12.64,12.64,1.74,2025-08-18 19:55:17
Santa Quitéria,27.18,26.57,céu limpo,31,27.18,27.18,3.09,2025-08-18 19:55:18
Santana do Acaraú,24.1,24.26,céu limpo,65,24.1,24.1,2.53,2025-08-18 19:55:17
Santana do Cariri,22.94,22.36,céu limpo,41,22.94,22.94,2.95,2025-08-18 19:55:17
São Benedito,21.76,20.88,céu limpo,34,21.76,21.76,1.96,2025-08-18 19:55:18
São Gonçalo do Amarante,26.74,28.57,céu limpo,72,26.74,26.74,4.83,2025-08-18 19:52:06
São João do Jaguaribe,24.51,24.82,céu limpo,69,24.51,24.51,3.43,2025-08-18 19:51:02
São Luís do Curu,23.39,23.61,céu limpo,70,23.39,23.39,1.94,2025-08-18 19:55:20
Senador Pompeu,25.1,24.45,céu limpo,30,25.1,25.1,1.25,2025-08-18 19:55:20
Senador Sá,24.01,24.14,céu limpo,64,24.01,24.01,2.87,2025-08-18 19:55:20
Sobral,26.17,26.17,céu limpo,43,26.17,26.17,2.73,2025-08-18 19:52:08
Solonópole,25.91,25.29,céu limpo,28,25.91,25.91,1.05,2025-08-18 19:55:21
Tabuleiro do Norte,24.2,24.61,céu limpo,74,24.2,24.2,3.46,2025-08-18 19:55:22
Tamboril,28.89,33.23,chuva leve,74,28.89,29.43,2.24,2025-08-18 19:55:22
Tarrafas,22.75,21.92,céu limpo,32,22.75,22.75,2.07,2025-08-18 19:55:23
Tauá,26.08,26.08,céu limpo,25,26.08,26.08,4.17,2025-08-18 19:55:23
Tejuçuoca,23.8,23.7,céu limpo,56,23.8,23.8,2.91,2025-08-18 19:55:24
Tianguá,22.15,21.36,céu limpo,36,22.15,22.15,2.14,2025-08-18 19:54:16
Trairi,25.09,25.61,céu limpo,75,25.09,25.09,5.86,2025-08-18 19:55:25
Tururu,21.66,21.92,céu limpo,78,21.66,21.66,1.4,2025-08-18 19:55:25
Ubajara,22.03,21.2,céu limpo,35,22.03,22.03,2.89,2025-08-18 19:55:25
Umari,24.56,23.88,céu limpo,31,24.56,24.56,2.01,2025-08-18 19:55:26
Umirim,22.47,22.7,céu limpo,74,22.47,22.47,1.46,2025-08-18 19:53:31
Uruburetama,19.86,19.94,céu limpo,78,19.86,19.86,1.53,2025-08-18 19:55:27
Uruoca,23.81,23.89,céu limpo,63,23.81,23.81,3.13,2025-08-18 19:55:27
Varjota,26.72,26.33,céu limpo,32,26.72,26.72,1.45,2025-08-18 19:55:28
Várzea Alegre,26.15,26.15,céu limpo,28,26.15,26.15,2.69,2025-08-18 19:55:28
Viçosa do Ceará,21.24,20.57,nuvens dispersas,44,21.24,21.24,0.38,2025-08-18 19:55:29
